lon,lat,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
121.05,23.3,0,0,0,0,0,1,2,2,2,2,0,0
121.05,23.35,0,0,0,0,0,1,2,2,2,2,0,0
121.05,23.15,0,0,0,0,0,1,2.3,2,2,2.3,0.3,0
121.05,23.3,0,0,0,0,0,1,2,2,2,2,0,0
121.05,23.35,0,0,0,0,0,1,2,2,2,2,0,0
121.1,23.75,0,0,0,0,0,1,2,2,2,1,0,0
121.1,23.8,0,0,0,0,0,1,1.3,2,2,1,0,0
121.1,22.95,0,0,0,0,0,1.3,3,2,2.3,2,1,0
121.1,23,0,0,0,0,0,1,2.3,2,2,2,1,0
121.1,23.05,0,0,0,0,0,1,2,2,2,2.3,1,0
121.1,23.1,0,0,0,0,0,1,2,2,2,2.3,1,0
121.1,23.15,0,0,0,0,0,1,2,2,2,2.3,1,0
121.1,23.2,0,0,0,0,0,1,2,2,2,2,1,0
121.1,23.25,0,0,0,0,0,1,2,2,2,2,1,0
121.1,23.3,0,0,0,0,0,1,2,2,2.3,2.3,1,0
121.1,23.35,0,0,0,0,0,1,2,2,2.3,2,0.3,0
121.1,23.4,0,0,0,0,0,1,2,2,2,2,0,0
121.1,23.45,0,0,0,0,0,1,2,2,2,2,0,0
121.15,23.5,0,0,0,0,0,1,2,2,2,2,0.3,0
121.15,23.8,0,0,0,0,0,1,1,2,2,1,0,0
121.15,22.8,0,0,0,0,0,1,2,2,2,2,1,0
121.15,22.9,0,0,0,0,0,1,2,2,2,2.3,1,0
121.15,22.95,0,0,0,0,0,1.3,2,2,2,2.3,1,0
121.15,23.05,0,0,0,0,0,1,2,2,2,2.3,1,0
121.15,23.1,0,0,0,0,0,1,2,2,2,2,1,0
121.15,23.15,0,0,0,0,0,1.3,2,2,2,2,1,0
121.15,23.2,0,0,0,0,0,1,2,2,2,2,1,0
121.15,23.25,0,0,0,0,0,1,2,2,2,2,1,0
121.15,23.3,0,0,0,0,0,1,2,2,3,2.3,1,0
121.15,23.35,0,0,0,0,0,1,2,2,3,2,1,0
121.15,23.4,0,0,0,0,0,1,2,2,3,2.3,0,0
121.15,23.45,0,0,0,0,0,1,2,2,2.3,2,1,0
121.15,23.5,0,0,0,0,0,1,2,2,2,2,0.3,0
121.2,23.65,0,0,0,0,0,1,2,2,2,2,0,0
121.2,23.75,0,0,0,0,0,1,2,2.3,2,2,0,0
121.2,23.8,0,0,0,0,0,1,1.3,2,2,1.3,0,0
121.2,22.85,0,0,0,0,0,1,2,2,2,2.3,1,0
121.2,22.9,0,0,0,0,0,1,2,2,2,2.3,1,0
121.2,22.95,0,0,0,0,0,1.3,2,2,2,2.3,1,0
121.2,23,0,0,0,0,0,1,2,2,2,2.3,1,0
121.2,23.05,0,0,0,0,0,1,2,2,2,2,0.3,0
121.2,23.1,0,0,0,0,0,1,2,2,2,2,1,0
121.2,23.15,0,0,0,0,0,1,2,2,2.3,2,0.3,0
121.2,23.25,0,0,0,0,0,1,2,2,2.3,2,1,0
121.2,23.3,0,0,0,0,0,1,2,2.3,3,2,1,0
121.2,23.45,0,0,0,0,0,1,2,2.3,3,2.3,1,0
121.2,23.65,0,0,0,0,0,1,2,2,2,2,0,0
121.2,23.75,0,0,0,0,0,1,2,2.3,2,2,0,0
121.2,23.8,0,0,0,0,0,1,1.3,2,2,1.3,0,0
121.25,23.65,0,0,0,0,0,1,2,3,3,2,0.3,0
121.25,23.7,0,0,0,0,0,1,2,2.3,2.3,2,1,0
121.25,23.75,0,0,0,0,0,1,2,3,2,2,0,0
121.25,23.8,0,0,0,0,0,1,2,3,2,2.3,0,0
121.25,23.85,0,0,0,0,0,1,2,2,2,2,0,0
121.25,23.9,0,0,0,0,0,2,2,2,2,1,0,0
121.25,23,0,0,0,0,0,1,2,2,2,2.3,1,0
121.25,23.05,0,0,0,0,0,1,2,2,2,2,0.3,0
121.25,23.1,0,0,0,0,0,1,2,2,2,2,0.3,0
121.25,23.15,0,0,0,0,0,1,2,2,3,2,0,0
121.25,23.3,0,0,0,0,0,1,2,2,3,3,1,0
121.25,23.65,0,0,0,0,0,1,2,3,3,2,0.3,0
121.25,23.7,0,0,0,0,0,1,2,2.3,2.3,2,1,0
121.25,23.75,0,0,0,0,0,1,2,3,2,2,0,0
121.25,23.8,0,0,0,0,0,1,2,3,2,2.3,0,0
121.25,23.85,0,0,0,0,0,1,2,2,2,2,0,0
121.25,23.9,0,0,0,0,0,2,2,2,2,1,0,0
121.3,24.55,0,0,0,0,0,1,1,2.3,3,1,0,0
121.3,24.6,0,0,0,0,0,1,1,3,2,1,0,0
121.3,23.9,0,0,0,0,0,1,2,2,2,2,0.3,0
121.3,23.05,0,0,0,0,0,1,2,2,2,2,1,0
121.3,23.1,0,0,0,0,0,1,2,2,2.3,2,0.3,0
121.3,23.15,0,0,0,0,0,1,2,2,3,2,1,0
121.3,23.2,0,0,0,0,0,1,2,2,3,2,0.3,0
121.3,23.3,0,0,0,0,0,2,2,2,3,3,1,0
121.3,23.35,0,0,0,0,0,2,2,2.3,3,3,1,0
121.3,23.4,0,0,0,0,0,1,2,2,3,3,1,0
121.3,23.45,0,0,0,0,0,1,2,2.3,3,3.3,1,0
121.3,23.5,0,0,0,0,0,1.3,2,3,3,3,1,0
121.3,23.65,0,0,0,0,0,1,2,2.3,3,2.3,1,0
121.3,23.7,0,0,0,0,0,1,2,3,3,2.3,1,0
121.3,23.75,0,0,0,0,0,1,2,3,3,2.3,1,0
121.3,23.8,0,0,0,0,0,1,2,2.3,2,2,0.3,0
121.3,23.85,0,0,0,0,0,1,2,2,2,2,0.3,0
121.3,23.9,0,0,0,0,0,1,2,2,2,2,0.3,0
121.35,24.45,0,0,0,0,0,1,1,2.3,3,2,0,0
121.35,24.5,0,0,0,0,0,1,1,2,3,2,0,0
121.35,24.55,0,0,0,0,0,1,1,3,2.3,2,0,0
121.35,24.6,0,0,0,0,0,1,2,3,2.3,2,0,0
121.35,24.35,0,0,0,0,0,1,1.3,2.3,2,1,0,0
121.35,24.4,0,0,0,0,0,1,2,2.3,2,2,0,0
121.35,24.45,0,0,0,0,0,1,1,2.3,3,2,0,0
121.35,23.15,0,0,0,0,0,1,2,2,3,2.3,1,0
121.35,23.2,0,0,0,0,0,1,2,2,3,2,1,0
121.35,23.25,0,0,0,0,0,1,2,2,3,2.3,1,0
121.35,23.3,0,0,0,0,0,1.3,2,2,3,3,1,0
121.35,23.85,0,0,0,0,0,1.3,2,2,3,3,1,0
121.35,24.35,0,0,0,0,0,1,1.3,2.3,2,1,0,0
121.35,24.4,0,0,0,0,0,1,2,2.3,2,2,0,0
121.35,24.45,0,0,0,0,0,1,1,2.3,3,2,0,0
121.35,24.5,0,0,0,0,0,1,1,2,3,2,0,0
121.4,24.5,0,0,0,0,0,1,2,2.3,3,2,0,0
121.4,24.55,0,0,0,0,0,1,2,3,3,2,0,0
121.4,24.6,0,0,0,0,0,1,2,3,3.3,2,0,0
121.4,24.65,0,0,0,0,0,1,2,3,3,2,0,0
121.4,24.7,0,0,0,0,0,1,2,3,3,2,0,0
121.4,24.35,0,0,0,0,0,1,2,2,2,1.3,0,0
121.4,24.4,0,0,0,0,0,1,2,2,2,2,0,0
121.4,23.25,0,0,0,0,0,1,2,2,3,3,1,0
121.4,23.3,0,0,0,0,0,1,2,2,3,3,1,0
121.4,23.95,0,0,0,0,0,1,2,2,3,2,1,0
121.4,24.35,0,0,0,0,0,1,2,2,2,1.3,0,0
121.4,24.4,0,0,0,0,0,1,2,2,2,2,0,0
121.4,24.45,0,0,0,0,0,1,2,2,3,2,0,0
121.4,24.5,0,0,0,0,0,1,2,2.3,3,2,0,0
121.4,24.55,0,0,0,0,0,1,2,3,3,2,0,0
121.4,24.6,0,0,0,0,0,1,2,3,3.3,2,0,0
121.45,24.7,0,0,0,0,0,1,2,3,3,2.3,0,0
121.45,24.3,0,0,0,0,0,1,2,2.3,2,2,0,0
121.45,24.35,0,0,0,0,0,1,2,3,2,2,0,0
121.45,24.4,0,0,0,0,0,1,2,2.3,3,2,0,0
121.45,23.9,0,0,0,0,0,1,2,2,3,3.3,1,0
121.45,23.95,0,0,0,0,0,1,2,2,3,2.6,1,0
121.45,24,0,0,0,0,0,1,2.3,2,3,2.3,1,0
121.45,24.15,0,0,0,0,0,1,3,2.3,2.3,2,1,0
121.45,24.2,0,0,0,0,0,1,2.3,2.3,2,2,0.3,0
121.45,24.25,0,0,0,0,0,1,2,2,2,2,0,0
121.45,24.3,0,0,0,0,0,1,2,2.3,2,2,0,0
