lon,lat,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
 120.75,  24.30,15.447,255.462,170.599,16.027,181.732,480.729,393.646,446.239,115.08,12.582,0.062,18.948
 120.80,  24.30,16.137,276.7,182.489,19.152,301.449,432.433,430.179,491.05,122.527,13.95,2.02,17.395
 120.85,  24.30,18.056,299.348,197.897,22.424,316.842,416.786,446.38,684.928,102.124,15.668,0.483,16.045
 120.90,  24.30,22.255,368.13,263.756,35.247,515.558,484.719,573.448,992.291,123.631,32.877,9.328,18.377
 121.00,  24.30,45.483,496.36,440.113,79.254,747.194,743.549,933.159,1522.739,211.27,79.187,29.968,38.413
 121.05,  24.30,55.758,500.706,481.257,97.513,827.26,791.602,1074.164,1560.841,241.32,93.759,30.839,50.953
 121.10,  24.30,46.395,458.622,458.504,87.146,705.546,571.775,900.937,1223.464,204.002,105.345,21.729,42.449
 120.70,  24.35,14.98,234.857,149.759,15.907,103.077,460.956,263.67,361.884,91.182,11.556,0.0,22.038
 120.75,  24.35,18.42,273.23,180.169,17.738,162.319,454.996,384.938,497.701,111.617,18.29,0.459,20.61
 120.80,  24.35,21.361,289.698,193.551,18.013,274.948,431.354,429.834,549.885,115.503,20.084,1.859,17.125
 120.85,  24.35,22.147,335.429,219.349,25.31,354.878,448.539,490.306,765.316,106.381,22.414,6.029,19.282
 120.90,  24.35,26.081,399.213,268.9,35.211,480.07,503.498,555.046,1025.196,123.857,38.786,16.132,21.28
 120.95,  24.35,30.327,468.611,312.134,47.055,557.186,590.568,620.561,1298.188,135.038,46.46,26.464,24.673
 121.00,  24.35,40.424,486.57,385.116,63.134,651.589,644.274,789.699,1326.986,155.606,71.381,31.285,32.287
 121.05,  24.35,55.156,508.081,465.457,95.754,800.605,766.828,1012.778,1564.679,217.782,101.324,32.881,50.059
 121.10,  24.35,55.267,497.161,478.889,90.6,704.012,601.375,916.97,1349.084,209.107,112.251,31.812,54.388
 121.15,  24.35,54.216,483.011,488.478,79.978,544.581,401.846,775.505,1033.579,193.139,136.645,32.198,58.046
 121.20,  24.35,51.368,451.757,497.513,72.57,375.834,236.102,649.515,761.335,193.015,187.57,30.836,58.715
 120.65,  24.40,15.57,187.477,142.728,19.129,86.181,485.898,229.378,274.869,75.708,14.869,0.319,23.451
 120.70,  24.40,15.869,220.158,148.533,19.953,153.499,456.431,242.754,353.644,78.637,16.25,4.45,23.938
 120.75,  24.40,21.458,265.16,198.806,25.904,283.648,461.459,389.765,562.604,120.893,30.465,12.744,27.631
 120.80,  24.40,22.234,298.644,216.017,26.072,320.457,423.056,435.511,644.902,97.909,27.092,10.21,24.352
 120.85,  24.40,24.268,334.975,243.718,26.568,386.374,427.222,493.967,765.381,94.981,32.446,17.442,22.704
 120.90,  24.40,29.184,382.469,282.905,32.689,452.979,447.933,527.636,948.053,105.792,47.404,32.665,25.639
 120.95,  24.40,29.839,419.95,301.558,38.981,472.57,430.916,535.555,1101.013,108.707,51.804,43.706,25.812
 121.00,  24.40,34.996,455.79,331.016,49.374,522.195,471.878,623.608,1180.064,110.053,61.535,49.736,27.049
 121.05,  24.40,44.678,478.712,381.089,65.829,603.494,545.862,748.545,1347.249,160.183,75.106,33.78,33.051
 121.10,  24.40,51.074,493.841,433.621,74.125,592.701,455.647,744.852,1302.826,174.233,84.474,35.404,43.462
