lon,lat,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan_daily,Feb_daily,Mar_daily,Apr_daily,May_daily,Jun_daily,Jul_daily,Aug_daily,Sep_daily,Oct_daily,Nov_daily,Dec_daily
120.25,22.7,2.206,4.066,5.996,28.621,108.476,306.592,217.346,231.92,87.773,5.129,1.511,1.607,0.07,0.15,0.19,0.95,3.50,10.22,7.01,7.48,2.93,0.17,0.05,0.05
120.7,22.2,2.552,3.344,3.141,14.531,92.194,314.386,268.489,337.624,175.272,21.6,3.451,1.893,0.08,0.12,0.10,0.48,2.97,10.48,8.66,10.89,5.84,0.70,0.12,0.06
120.4,22.55,2.628,3.228,6.492,24.782,121.998,298.037,240.776,267.548,115.628,12.723,1.66,1.355,0.08,0.12,0.21,0.83,3.94,9.93,7.77,8.63,3.85,0.41,0.06,0.04
120.4,22.5,2.85,3.003,5.918,24.296,109.976,308.412,244.251,254.28,114.34,12.438,1.408,1.946,0.09,0.11,0.19,0.81,3.55,10.28,7.88,8.20,3.81,0.40,0.05,0.06
120.45,22.8,3.016,7.44,7.376,35.201,143.699,340.148,320.038,380.03,134.234,15.458,3.34,2.063,0.10,0.27,0.24,1.17,4.64,11.34,10.32,12.26,4.47,0.50,0.11,0.07
120.45,22.75,3.07,5.4,10.769,30.691,148.558,339.918,321.402,358.5,133.148,16.378,4.326,0.769,0.10,0.19,0.35,1.02,4.79,11.33,10.37,11.56,4.44,0.53,0.14,0.02
120.4,22.6,3.183,4.46,6.836,25.545,117.018,319.855,252.815,275.209,108.516,10.594,1.042,1.465,0.10,0.16,0.22,0.85,3.77,10.66,8.16,8.88,3.62,0.34,0.03,0.05
120.25,22.65,3.187,3.224,6.201,27.218,109.146,303.182,211.076,223.106,84.258,7.418,1.919,0.536,0.10,0.12,0.20,0.91,3.52,10.11,6.81,7.20,2.81,0.24,0.06,0.02
120.65,22.25,3.298,2.568,4.388,18.379,106.746,308.168,283.748,357.764,162.582,15.578,5.164,1.736,0.11,0.09,0.14,0.61,3.44,10.27,9.15,11.54,5.42,0.50,0.17,0.06
120.4,22.65,3.396,4.884,6.36,21.748,106.157,298.942,255.469,268.558,107.42,11.104,1.142,0.796,0.11,0.17,0.21,0.72,3.42,9.96,8.24,8.66,3.58,0.36,0.04,0.03
120.7,22,3.422,4.723,2.478,10.64,85.296,252.519,234.674,288.998,160.384,18.186,6.717,1.348,0.11,0.17,0.08,0.35,2.75,8.42,7.57,9.32,5.35,0.59,0.22,0.04
120.5,22.6,3.441,3.166,8.137,23.08,120.529,299.326,299.92,331.723,150.985,12.048,0.566,1.451,0.11,0.11,0.26,0.77,3.89,9.98,9.67,10.70,5.03,0.39,0.02,0.05
120.65,22.35,3.463,3.896,6.553,35.885,146.168,365.246,358.794,437.104,206.435,25.014,7.177,5.016,0.11,0.14,0.21,1.20,4.72,12.17,11.57,14.10,6.88,0.81,0.24,0.16
120.25,22.6,3.48,2.378,5.448,26.425,111.628,302.272,212.63,233.572,88.707,7.508,1.828,0.5,0.11,0.08,0.18,0.88,3.60,10.08,6.86,7.53,2.96,0.24,0.06,0.02
120.25,22.75,3.482,4.848,6.812,35.802,117.285,313.914,232.791,262.11,81.134,5.926,2.97,2.442,0.11,0.17,0.22,1.19,3.78,10.46,7.51,8.46,2.70,0.19,0.10,0.08
120.45,22.6,3.484,4.926,6.908,25.941,123.718,328.576,273.89,313.381,137.049,13.763,1.105,1.598,0.11,0.18,0.22,0.86,3.99,10.95,8.84,10.11,4.57,0.44,0.04,0.05
120.55,22.8,3.532,5.666,8.94,30.162,153.716,344.04,346.796,374.351,154.027,21.447,2.073,1.427,0.11,0.20,0.29,1.01,4.96,11.47,11.19,12.08,5.13,0.69,0.07,0.05
120.35,22.35,3.613,2.809,5.685,17.212,95.387,276.706,251.722,241.856,117.608,11.344,1.52,1.424,0.12,0.10,0.18,0.57,3.08,9.22,8.12,7.80,3.92,0.37,0.05,0.05
120.3,22.7,3.619,5.855,6.887,31.316,117.285,304.328,221.851,285.318,115.818,8.367,2.438,2.838,0.12,0.21,0.22,1.04,3.78,10.14,7.16,9.20,3.86,0.27,0.08,0.09
120.45,22.55,3.635,3.698,6.754,25.49,118.884,334.564,250.288,298.264,141.056,14.608,1,1.01,0.12,0.13,0.22,0.85,3.83,11.15,8.07,9.62,4.70,0.47,0.03,0.03
120.35,22.6,3.636,3.826,7.502,28.004,112.236,310.051,213.054,250.644,106.524,10.355,2.258,1.522,0.12,0.14,0.24,0.93,3.62,10.34,6.87,8.09,3.55,0.33,0.08,0.05
120.5,22.75,3.638,6.271,8.576,31.772,135.743,359.792,357.044,388.374,160.986,21.372,3.99,1.024,0.12,0.22,0.28,1.06,4.38,11.99,11.52,12.53,5.37,0.69,0.13,0.03
120.7,22.15,3.67,3.775,2.73,10.058,88.124,309.992,289.104,325.016,175.5,18.429,5.565,2.018,0.12,0.13,0.09,0.34,2.84,10.33,9.33,10.48,5.85,0.59,0.19,0.07
120.55,22.6,3.733,3.7,6.627,22.492,141.802,313.11,380.436,414.065,196.989,31.514,2.162,2.08,0.12,0.13,0.21,0.75,4.57,10.44,12.27,13.36,6.57,1.02,0.07,0.07
120.3,22.65,3.79,4.687,6.49,26.125,118.98,301.145,225.864,243.022,100.006,9.604,2.78,0.716,0.12,0.17,0.21,0.87,3.84,10.04,7.29,7.84,3.33,0.31,0.09,0.02
120.7,22.3,3.847,3.522,6.676,25.406,129.392,336.059,305.375,373.414,202.664,21.09,8.058,2.58,0.12,0.13,0.22,0.85,4.17,11.20,9.85,12.05,6.76,0.68,0.27,0.08
120.7,22.25,3.905,2.719,5.146,18.54,103.066,321.158,290.646,346.174,161.266,20.5,6.154,2.093,0.13,0.10,0.17,0.62,3.32,10.71,9.38,11.17,5.38,0.66,0.21,0.07
120.35,22.7,3.909,5.898,6.791,30.678,114.188,313.614,249.642,310.908,120.885,10.384,1.76,1.414,0.13,0.21,0.22,1.02,3.68,10.45,8.05,10.03,4.03,0.33,0.06,0.05
120.45,22.5,3.915,3.551,6.92,25.944,113.925,317.198,257.069,266.824,131.276,14.044,1.11,0.892,0.13,0.13,0.22,0.86,3.68,10.57,8.29,8.61,4.38,0.45,0.04,0.03
120.45,22.65,3.923,6.958,8.241,26.575,137.707,322.776,294.228,349.776,135.437,17.16,1.886,1.8,0.13,0.25,0.27,0.89,4.44,10.76,9.49,11.28,4.51,0.55,0.06,0.06
120.2,22.8,3.934,3.866,6.602,27.809,108.404,330.603,209.645,233.877,68.982,3.08,1.422,1.493,0.13,0.14,0.21,0.93,3.50,11.02,6.76,7.54,2.30,0.10,0.05,0.05
120.5,22.8,3.996,5.659,9.498,33.802,151.508,394.386,358.105,422.563,169.845,21.266,4.434,1.586,0.13,0.20,0.31,1.13,4.89,13.15,11.55,13.63,5.66,0.69,0.15,0.05
120.55,22.7,4.078,7.539,7.841,30.696,158.348,346.355,344.078,332.686,189.268,27.374,3.319,1.825,0.13,0.27,0.25,1.02,5.11,11.55,11.10,10.73,6.31,0.88,0.11,0.06
120.55,22.65,4.08,4.319,8.604,26.837,153.104,312.11,379.354,384.115,193.277,33.102,1.545,1.249,0.13,0.15,0.28,0.89,4.94,10.40,12.24,12.39,6.44,1.07,0.05,0.04
120.4,22.75,4.094,5.857,9.805,31.509,151.218,327.428,285.048,315.128,120.5,8.884,1.952,1.292,0.13,0.21,0.32,1.05,4.88,10.91,9.20,10.17,4.02,0.29,0.07,0.04
120.65,22.3,4.127,4.104,5.38,25.206,119.802,311.35,303.952,390.34,181.11,20.022,6.06,2.69,0.13,0.15,0.17,0.84,3.86,10.38,9.80,12.59,6.04,0.65,0.20,0.09
120.05,23.05,4.143,5.94,8.144,33.236,95.898,215.95,206.498,182.656,52.838,0.596,2.266,1.904,0.13,0.21,0.26,1.11,3.09,7.20,6.66,5.89,1.76,0.02,0.08,0.06
120.45,22.85,4.147,7.475,8.43,32.275,153.673,342.524,335.561,390.388,136.278,14.325,4.279,2.95,0.13,0.27,0.27,1.08,4.96,11.42,10.82,12.59,4.54,0.46,0.14,0.10
120.35,22.55,4.222,3.474,6.778,29.408,115.023,296.991,226.171,267.308,111.81,13.657,2.584,1.436,0.14,0.12,0.22,0.98,3.71,9.90,7.30,8.62,3.73,0.44,0.09,0.05
120.55,22.75,4.232,8.564,8.3,32.861,168.204,369.119,363.606,420.974,188.345,32.338,4.378,2.189,0.14,0.31,0.27,1.10,5.43,12.30,11.73,13.58,6.28,1.04,0.15,0.07
