LON, LAT, OBS, Historical,   rcp26_2016-2035,        rcp26_2046-2065,        rcp26_2081-2100,        rcp45_2016-2035,        rcp45_2046-2065,        rcp45_2081-2100,        rcp60_2016-2035,        rcp60_2046-2065,        rcp60_2081-2100,        rcp85_2016-2035,        rcp85_2046-2065,        rcp85_2081-2100
120.7,22.6,11,"	    11.6662","	    12.0409","	    13.0682","	    12.4591","	    12.2417","	    13.0583","	    13.0000","	    11.7000","	    12.7353","	    13.4401","	    12.3500","	    13.5409","	    15.0030"
120.7,22.65,10.2,"	    10.8926","	    11.2864","	    12.3023","	    11.6659","	    11.4933","	    12.2333","	    12.1933","	    11.0147","	    11.9382","	    12.6912","	    11.5500","	    12.7833","	    14.1712"
120.75,22.7,10.35,"	    10.3074","	    10.6955","	    11.6432","	    11.0432","	    10.9200","	    11.5550","	    11.5883","	    10.4206","	    11.2294","	    12.1133","	    10.8894","	    12.0091","	    13.5212"
120.7,22.7,9.9,"	    10.1088","	    10.5727","	    11.4955","	    10.8477","	    10.7583","	    11.3383","	    11.3850","	    10.2706","	    11.1059","	    11.8546","	    10.7470","	    11.9076","	    13.3106"
120.7,22.45,9.8,"	    10.2618","	    10.5636","	    11.4568","	    10.9386","	    10.7883","	    11.4433","	    11.3750","	    10.3824","	    11.2412","	    12.0779","	    10.8318","	    11.9788","	    13.4000"
121.65,24.55,10.65,"	    10.2794","	    10.5636","	    11.3364","	    11.2136","	    10.5483","	    11.2617","	    11.0017","	     9.9000","	    11.0176","	    11.8994","	    10.6455","	    11.4788","	    12.6939"
120.75,22.4,9.7,"	    10.2603","	    10.5409","	    11.4386","	    11.0000","	    10.8583","	    11.4000","	    11.4450","	    10.4176","	    11.2735","	    12.0868","	    10.9030","	    11.9818","	    13.4561"
120.75,22.4,9.7,"	    10.2603","	    10.5409","	    11.4386","	    11.0000","	    10.8583","	    11.4000","	    11.4450","	    10.4176","	    11.2735","	    12.0868","	    10.9030","	    11.9818","	    13.4561"
120.7,22.55,9.75,"	     9.9294","	    10.3136","	    11.2568","	    10.6727","	    10.5250","	    11.1217","	    11.0967","	    10.1059","	    10.9706","	    11.7658","	    10.5667","	    11.7015","	    13.0909"
120.7,22.4,9.75,"	    10.0191","	    10.3023","	    11.2636","	    10.7750","	    10.6183","	    11.2000","	    11.2000","	    10.1824","	    10.9647","	    11.8571","	    10.6242","	    11.7561","	    13.2136"
120.75,22.65,10.25,"	     9.6279","	    10.0500","	    10.8864","	    10.3818","	    10.2717","	    10.8800","	    10.9567","	     9.7382","	    10.5706","	    11.4644","	    10.2894","	    11.2712","	    12.8167"
120.75,22.65,10.25,"	     9.6279","	    10.0500","	    10.8864","	    10.3818","	    10.2717","	    10.8800","	    10.9567","	     9.7382","	    10.5706","	    11.4644","	    10.2894","	    11.2712","	    12.8167"
121.75,24.6,8.7,"	     9.3971","	     9.7614","	    10.3864","	    10.4045","	     9.7133","	    10.4650","	    10.0700","	     9.2088","	    10.1941","	    11.1461","	     9.8500","	    10.5652","	    11.6636"
120.75,22.75,8.6,"	     9.2926","	     9.7295","	    10.6159","	    10.0273","	     9.9233","	    10.4650","	    10.5283","	     9.4529","	    10.2647","	    11.0625","	     9.8879","	    10.9682","	    12.3864"
120.65,22.6,9.1,"	     9.3662","	     9.7182","	    10.6295","	    10.0364","	     9.9517","	    10.4683","	    10.5017","	     9.5235","	    10.3088","	    11.0646","	     9.9742","	    11.0439","	    12.4864"
120.75,22.45,9,"	     9.2662","	     9.5477","	    10.5386","	    10.0705","	     9.8383","	    10.3550","	    10.4417","	     9.4676","	    10.1882","	    11.1319","	     9.8576","	    10.8682","	    12.3621"
120.75,22.45,9,"	     9.2662","	     9.5477","	    10.5386","	    10.0705","	     9.8383","	    10.3550","	    10.4417","	     9.4676","	    10.1882","	    11.1319","	     9.8576","	    10.8682","	    12.3621"
120.7,22.5,9.2,"	     9.2118","	     9.5045","	    10.4227","	     9.9409","	     9.7833","	    10.2750","	    10.3117","	     9.3794","	    10.1382","	    10.9670","	     9.7970","	    10.7894","	    12.2621"
121.65,24.6,10.15,"	     9.0971","	     9.4864","	    10.1545","	    10.0636","	     9.4933","	    10.2083","	     9.9350","	     8.9294","	     9.9147","	    10.8424","	     9.5303","	    10.4030","	    11.4364"
120.7,22.75,9.1,"	     8.9529","	     9.4227","	    10.2659","	     9.7114","	     9.5417","	    10.1067","	    10.1800","	     9.1559","	     9.8794","	    10.7288","	     9.5455","	    10.6061","	    12.0242"
121.7,24.6,9.45,"	     9.1029","	     9.4000","	    10.1364","	     9.9977","	     9.3767","	    10.1350","	     9.7867","	     8.8912","	     9.8324","	    10.8571","	     9.4909","	    10.3106","	    11.3682"
120.75,22.6,9.55,"	     8.9676","	     9.3705","	    10.1500","	     9.6932","	     9.6250","	    10.1350","	    10.2283","	     9.1794","	     9.8382","	    10.8693","	     9.5879","	    10.5136","	    12.0182"
120.75,22.6,9.55,"	     8.9676","	     9.3705","	    10.1500","	     9.6932","	     9.6250","	    10.1350","	    10.2283","	     9.1794","	     9.8382","	    10.8693","	     9.5879","	    10.5136","	    12.0182"
121.6,24.55,8.6,"	     8.9985","	     9.3205","	    10.0909","	     9.8909","	     9.3033","	    10.0183","	     9.7133","	     8.7206","	     9.8353","	    10.7104","	     9.3182","	    10.2333","	    11.4288"
121.7,24.55,8.8,"	     8.8544","	     9.2523","	     9.8727","	     9.7477","	     9.1233","	     9.8700","	     9.5367","	     8.7000","	     9.5647","	    10.5769","	     9.1879","	    10.0909","	    11.1394"
120.7,22.8,8.6,"	     8.7044","	     9.2455","	     9.9909","	     9.5205","	     9.4100","	     9.8967","	     9.9883","	     8.8853","	     9.6471","	    10.5026","	     9.2879","	    10.3212","	    11.7621"
121.8,24.6,7.9,"	     8.9500","	     9.2341","	     9.7205","	     9.7500","	     9.1417","	     9.9467","	     9.5550","	     8.8324","	     9.6618","	    10.4913","	     9.3242","	     9.9848","	    11.0061"
121.85,24.6,8.7,"	     8.8750","	     9.2341","	     9.6364","	     9.7205","	     9.0567","	     9.9033","	     9.4967","	     8.6853","	     9.6147","	    10.4201","	     9.2364","	     9.9576","	    10.8864"
120.85,23.15,8.25,"	     8.7662","	     9.1750","	     9.8477","	     9.5523","	     9.2583","	     9.9833","	     9.9933","	     8.7412","	     9.3941","	    10.2522","	     9.2394","	    10.2394","	    11.5758"
120.65,22.55,8.5,"	     8.8618","	     9.1705","	    10.0000","	     9.5591","	     9.3933","	     9.9383","	     9.9267","	     9.0176","	     9.6912","	    10.5167","	     9.4136","	    10.4045","	    11.8136"
121.25,24.05,7.05,"	     8.8426","	     9.0364","	     9.9636","	     9.8477","	     9.0333","	    10.0833","	     9.9867","	     8.5853","	     9.3412","	    10.2395","	     9.0803","	    10.1939","	    11.3076"
120.75,23,7.8,"	     8.3868","	     8.9432","	     9.6591","	     9.2386","	     8.9650","	     9.5600","	     9.8017","	     8.5235","	     9.2118","	     9.8923","	     8.8561","	     9.9576","	    11.2606"
120.7,22.85,8.05,"	     8.2559","	     8.7864","	     9.5341","	     8.9795","	     8.9217","	     9.4083","	     9.5667","	     8.4441","	     9.1294","	     9.8961","	     8.8258","	     9.8788","	    11.2182"
120.95,23.25,7.5,"	     8.4118","	     8.7864","	     9.4250","	     9.2114","	     8.8567","	     9.6000","	     9.6533","	     8.4882","	     9.0529","	     9.8902","	     8.9182","	     9.8939","	    11.1742"
120.95,23.25,7.5,"	     8.4118","	     8.7864","	     9.4250","	     9.2114","	     8.8567","	     9.6000","	     9.6533","	     8.4882","	     9.0529","	     9.8902","	     8.9182","	     9.8939","	    11.1742"
120.8,23.1,8.3,"	     8.3044","	     8.7818","	     9.4500","	     9.1659","	     8.8533","	     9.4417","	     9.6417","	     8.3676","	     9.0735","	     9.8280","	     8.7424","	     9.7970","	    11.0015"
121.8,24.65,8,"	     8.4382","	     8.7182","	     9.1273","	     9.2432","	     8.5717","	     9.3483","	     9.0317","	     8.2647","	     9.1088","	     9.9398","	     8.8045","	     9.4485","	    10.4182"
120.9,23.15,7.8,"	     8.3294","	     8.7114","	     9.3386","	     9.0750","	     8.8383","	     9.5133","	     9.5133","	     8.4324","	     9.0235","	     9.9483","	     8.7985","	     9.7803","	    11.0788"
120.9,23.15,7.8,"	     8.3294","	     8.7114","	     9.3386","	     9.0750","	     8.8383","	     9.5133","	     9.5133","	     8.4324","	     9.0235","	     9.9483","	     8.7985","	     9.7803","	    11.0788"
121.6,24.6,7.7,"	     8.2779","	     8.6386","	     9.3023","	     9.1818","	     8.6367","	     9.3583","	     9.0150","	     8.1029","	     9.1265","	     9.9950","	     8.6682","	     9.4818","	    10.5682"
121.25,24.15,9.05,"	     8.4103","	     8.6318","	     9.3864","	     9.2114","	     8.5983","	     9.6183","	     9.6000","	     8.1824","	     8.6294","	     9.7398","	     8.5773","	     9.6803","	    10.7333"
121.75,24.55,7.45,"	     8.3353","	     8.6159","	     9.2818","	     9.1773","	     8.6067","	     9.3200","	     8.9683","	     8.1971","	     9.1088","	    10.0847","	     8.6909","	     9.5636","	    10.5636"
120.75,22.55,8.85,"	     8.2221","	     8.5864","	     9.4159","	     8.9750","	     8.8433","	     9.2983","	     9.3067","	     8.4765","	     9.0941","	    10.0822","	     8.8439","	     9.7591","	    11.1803"
120.75,22.55,8.85,"	     8.2221","	     8.5864","	     9.4159","	     8.9750","	     8.8433","	     9.2983","	     9.3067","	     8.4765","	     9.0941","	    10.0822","	     8.8439","	     9.7591","	    11.1803"
120.75,22.5,9.05,"	     8.2368","	     8.5773","	     9.4636","	     9.0432","	     8.9000","	     9.3183","	     9.2833","	     8.5059","	     9.1294","	    10.0138","	     8.8364","	     9.7833","	    11.2364"
120.75,22.5,9.05,"	     8.2368","	     8.5773","	     9.4636","	     9.0432","	     8.9000","	     9.3183","	     9.2833","	     8.5059","	     9.1294","	    10.0138","	     8.8364","	     9.7833","	    11.2364"
120.65,22.45,8.4,"	     8.2456","	     8.5614","	     9.4659","	     8.9545","	     8.8250","	     9.2833","	     9.2883","	     8.4235","	     9.1176","	     9.9587","	     8.8288","	     9.7955","	    11.2485"
121.75,24.65,8.1,"	     8.3588","	     8.5614","	     9.0500","	     9.1614","	     8.5550","	     9.2833","	     8.9683","	     8.1676","	     9.0559","	     9.9198","	     8.7061","	     9.4091","	    10.4061"
120.8,22.4,7.9,"	     8.1471","	     8.5182","	     9.3568","	     8.9659","	     8.8183","	     9.1983","	     9.1750","	     8.3500","	     9.0853","	     9.9907","	     8.7515","	     9.6606","	    11.1606"
120.8,22.4,7.9,"	     8.1471","	     8.5182","	     9.3568","	     8.9659","	     8.8183","	     9.1983","	     9.1750","	     8.3500","	     9.0853","	     9.9907","	     8.7515","	     9.6606","	    11.1606"
120.8,22.7,8.4,"	     8.0853","	     8.4977","	     9.2864","	     8.8500","	     8.7683","	     9.2567","	     9.2533","	     8.3471","	     8.9324","	     9.9734","	     8.6591","	     9.6288","	    11.0727"
120.8,22.7,8.4,"	     8.0853","	     8.4977","	     9.2864","	     8.8500","	     8.7683","	     9.2567","	     9.2533","	     8.3471","	     8.9324","	     9.9734","	     8.6591","	     9.6288","	    11.0727"
120.75,23.05,7.25,"	     7.9485","	     8.4773","	     9.1977","	     8.7773","	     8.5733","	     9.0733","	     9.3200","	     8.1176","	     8.8118","	     9.4553","	     8.3970","	     9.5197","	    10.7515"
121.65,24.5,7.55,"	     8.0721","	     8.4659","	     9.1818","	     8.9909","	     8.3817","	     9.1283","	     8.7250","	     7.9941","	     9.0353","	     9.8082","	     8.4091","	     9.2894","	    10.4697"
120.75,22.8,7.55,"	     7.9735","	     8.4568","	     9.1750","	     8.7295","	     8.6417","	     9.0583","	     9.2233","	     8.1676","	     8.8647","	     9.7325","	     8.5439","	     9.5333","	    10.8530"
120.9,23.2,7.8,"	     8.0779","	     8.4364","	     9.0705","	     8.8341","	     8.5250","	     9.1933","	     9.2550","	     8.1000","	     8.7000","	     9.5889","	     8.5136","	     9.4970","	    10.7636"
120.9,23.2,7.8,"	     8.0779","	     8.4364","	     9.0705","	     8.8341","	     8.5250","	     9.1933","	     9.2550","	     8.1000","	     8.7000","	     9.5889","	     8.5136","	     9.4970","	    10.7636"
120.9,23.25,7.85,"	     8.0118","	     8.4091","	     9.0727","	     8.7932","	     8.4783","	     9.1967","	     9.2450","	     8.0471","	     8.6559","	     9.4599","	     8.5136","	     9.4667","	    10.7424"
120.9,23.25,7.85,"	     8.0118","	     8.4091","	     9.0727","	     8.7932","	     8.4783","	     9.1967","	     9.2450","	     8.0471","	     8.6559","	     9.4599","	     8.5136","	     9.4667","	    10.7424"
120.75,23.1,7.5,"	     7.8382","	     8.4045","	     9.0977","	     8.7250","	     8.4600","	     8.9200","	     9.1250","	     8.0235","	     8.7147","	     9.3824","	     8.3152","	     9.3909","	    10.6439"
120.65,22.5,8.45,"	     8.0397","	     8.3841","	     9.2273","	     8.7841","	     8.6833","	     9.0483","	     9.0850","	     8.3000","	     8.9000","	     9.7146","	     8.6591","	     9.5773","	    10.9879"
120.85,23.1,7.3,"	     7.9676","	     8.3727","	     8.9886","	     8.7068","	     8.5050","	     9.0750","	     9.2133","	     8.0618","	     8.6294","	     9.4882","	     8.3985","	     9.4212","	    10.6727"
121.7,24.5,7.75,"	     8.0132","	     8.3455","	     9.0886","	     8.8841","	     8.3050","	     9.0150","	     8.6550","	     7.9059","	     8.8059","	     9.6393","	     8.3242","	     9.2303","	    10.3424"
121.75,24.45,7.8,"	     8.0368","	     8.3432","	     9.0273","	     8.9045","	     8.2417","	     9.0150","	     8.6633","	     7.9618","	     8.9294","	     9.6740","	     8.3045","	     9.3121","	    10.3091"
120.65,22.7,7.85,"	     7.8294","	     8.3227","	     9.0523","	     8.6114","	     8.4417","	     8.8917","	     9.0267","	     8.0912","	     8.7176","	     9.6498","	     8.3742","	     9.4424","	    10.8136"
120.65,22.65,7.45,"	     7.9044","	     8.3205","	     9.1114","	     8.6341","	     8.5117","	     8.9183","	     9.0433","	     8.1147","	     8.7471","	     9.6621","	     8.4576","	     9.4727","	    10.8470"
121.75,24.95,9.25,"	     7.8971","	     8.2932","	     8.8750","	     8.8250","	     8.2317","	     9.0267","	     8.5933","	     7.6853","	     8.5912","	     9.6023","	     8.3045","	     9.0561","	    10.2697"
121.8,24.55,6.9,"	     7.9868","	     8.2386","	     8.8455","	     8.8523","	     8.1717","	     8.9550","	     8.6083","	     7.8735","	     8.8000","	     9.6836","	     8.3106","	     9.0955","	    10.0758"
120.8,23.15,7.75,"	     7.6853","	     8.2250","	     8.8432","	     8.5295","	     8.2417","	     8.7983","	     8.9467","	     7.8206","	     8.4500","	     9.1796","	     8.1591","	     9.1500","	    10.3833"
121.05,24.3,7.7,"	     8.0294","	     8.2182","	     8.9614","	     8.9955","	     8.2450","	     9.1933","	     9.1250","	     7.9706","	     8.4265","	     9.4511","	     8.2455","	     9.2394","	    10.3894"
121.05,24.3,7.7,"	     8.0294","	     8.2182","	     8.9614","	     8.9955","	     8.2450","	     9.1933","	     9.1250","	     7.9706","	     8.4265","	     9.4511","	     8.2455","	     9.2394","	    10.3894"
121.75,24.5,7.3,"	     7.9471","	     8.2114","	     8.9409","	     8.7682","	     8.1733","	     8.9483","	     8.5900","	     7.8618","	     8.7353","	     9.5769","	     8.2758","	     9.2000","	    10.1727"
120.7,22.95,6.85,"	     7.6324","	     8.1864","	     8.8545","	     8.4386","	     8.3350","	     8.7050","	     8.9483","	     7.9265","	     8.4941","	     9.2277","	     8.1636","	     9.2182","	    10.5212"
120.8,23.05,7.2,"	     7.6279","	     8.1727","	     8.8000","	     8.4545","	     8.2650","	     8.7600","	     8.9817","	     7.8412","	     8.4735","	     9.1365","	     8.1015","	     9.1652","	    10.3667"
120.7,23.1,7.15,"	     7.6324","	     8.1614","	     8.8773","	     8.4477","	     8.1783","	     8.5783","	     8.8133","	     7.8235","	     8.4824","	     9.1697","	     8.0970","	     9.1121","	    10.4591"
120.95,23.3,7.15,"	     7.7162","	     8.1523","	     8.8045","	     8.5591","	     8.1683","	     8.8467","	     8.9017","	     7.7471","	     8.4206","	     9.1122","	     8.2333","	     9.1394","	    10.3833"
120.95,23.3,7.15,"	     7.7162","	     8.1523","	     8.8045","	     8.5591","	     8.1683","	     8.8467","	     8.9017","	     7.7471","	     8.4206","	     9.1122","	     8.2333","	     9.1394","	    10.3833"
121.6,24.5,7.5,"	     7.7765","	     8.1500","	     8.8159","	     8.6386","	     8.0950","	     8.8083","	     8.4417","	     7.5853","	     8.7529","	     9.4604","	     8.0879","	     9.0152","	    10.1242"
120.7,23.15,6.95,"	     7.6059","	     8.1250","	     8.8386","	     8.4818","	     8.1717","	     8.6117","	     8.7567","	     7.8000","	     8.4000","	     9.1356","	     8.1182","	     9.1409","	    10.4076"
120.8,22.45,7.95,"	     7.7162","	     8.0955","	     8.8795","	     8.4659","	     8.3583","	     8.7400","	     8.7400","	     7.9235","	     8.6529","	     9.5307","	     8.3621","	     9.1970","	    10.6288"
120.8,22.45,7.95,"	     7.7162","	     8.0955","	     8.8795","	     8.4659","	     8.3583","	     8.7400","	     8.7400","	     7.9235","	     8.6529","	     9.5307","	     8.3621","	     9.1970","	    10.6288"
120.9,23.3,7.3,"	     7.6059","	     8.0886","	     8.7318","	     8.5159","	     8.0817","	     8.7517","	     8.8667","	     7.6971","	     8.2912","	     9.0508","	     8.1197","	     9.0727","	    10.3682"
121.8,24.45,7.5,"	     7.7985","	     8.0886","	     8.7636","	     8.6455","	     7.9667","	     8.7750","	     8.4400","	     7.7294","	     8.6735","	     9.4737","	     8.1000","	     9.0273","	     9.9758"
121.8,24.5,6.8,"	     7.8103","	     8.0750","	     8.7318","	     8.6500","	     7.9850","	     8.8083","	     8.4583","	     7.7147","	     8.6765","	     9.4916","	     8.0879","	     9.0167","	     9.9636"
121.85,24.55,6.45,"	     7.7647","	     8.0659","	     8.7182","	     8.6136","	     7.9467","	     8.7467","	     8.3883","	     7.6706","	     8.5735","	     9.4359","	     8.0576","	     8.9409","	     9.9015"
120.7,23.2,6.8,"	     7.4779","	     8.0568","	     8.6864","	     8.4000","	     8.0700","	     8.5133","	     8.7050","	     7.6294","	     8.2735","	     9.1207","	     7.9864","	     9.0394","	    10.2652"
120.65,22.75,7.45,"	     7.5603","	     8.0500","	     8.7705","	     8.3682","	     8.2117","	     8.6450","	     8.7433","	     7.7882","	     8.4882","	     9.3317","	     8.0848","	     9.1606","	    10.5227"
