lon,lat,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
 120.75,  24.30,0,0,0,0,1,0,1,5,0,0,0,0
 120.80,  24.30,0,0,0,1,1,0,1,5,0,0,0,0
 120.85,  24.30,0,0,0,1,2,0,1,5,0,0,0,0
 120.90,  24.30,0,0,0,1,2,0,2,6,0,0,0,0
 121.00,  24.30,0,0,0,1,4,0,2,4,0,0,0,1
 121.05,  24.30,0,0,0,2,5,0,2,4,0,0,0,1
 121.10,  24.30,0,0,0,2,5,0,1,3,0,0,0,1
 120.70,  24.35,0,0,0,0,1,0,1,4,0,0,0,0
 120.75,  24.35,0,0,0,0,1,0,1,4,0,0,0,0
 120.80,  24.35,0,0,0,0,2,0,1,5,0,0,0,0
 120.85,  24.35,0,0,0,1,2,0,1,5,0,0,0,0
 120.90,  24.35,0,0,0,1,2,0,1,5,0,0,0,0
 120.95,  24.35,0,0,0,1,2,0,2,4,0,0,0,0
 121.00,  24.35,0,0,0,1,3,0,2,4,0,0,0,1
 121.05,  24.35,0,0,0,2,5,0,2,4,0,0,0,1
 121.10,  24.35,0,0,0,2,4,0,2,3,0,0,0,1
 121.15,  24.35,0,0,0,1,2,0,1,3,0,0,0,1
 121.20,  24.35,0,0,0,1,1,0,1,2,1,0,0,1
 120.65,  24.40,0,0,0,0,1,0,1,4,0,0,0,0
 120.70,  24.40,0,0,0,0,1,0,1,4,0,0,0,0
 120.75,  24.40,0,0,0,0,1,0,1,4,0,0,0,0
 120.80,  24.40,0,0,0,0,1,0,1,5,0,0,0,0
 120.85,  24.40,0,0,0,0,2,0,1,5,0,0,0,0
 120.90,  24.40,0,0,0,0,2,0,1,5,0,0,0,0
 120.95,  24.40,0,0,0,0,2,0,3,4,0,1,0,0
 121.00,  24.40,0,0,0,1,2,0,3,3,0,1,0,0
 121.05,  24.40,0,0,0,1,2,0,2,4,0,1,0,1
 121.10,  24.40,0,0,0,1,2,0,2,2,0,1,0,1
 121.15,  24.40,0,0,0,1,2,0,2,2,0,1,0,1
 121.20,  24.40,0,0,0,1,0,0,1,2,1,0,0,1
 121.25,  24.40,0,0,0,0,0,0,1,2,1,0,0,0
 120.60,  24.45,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
 120.65,  24.45,0,0,0,0,1,0,1,4,0,0,0,0
 120.70,  24.45,0,0,0,0,1,0,1,4,0,0,0,0
 120.75,  24.45,0,0,0,0,1,0,1,4,0,0,0,0
 120.80,  24.45,0,0,0,0,1,0,1,4,0,0,0,0
 120.85,  24.45,0,0,0,0,1,0,1,4,0,0,0,0
 120.90,  24.45,0,0,0,0,1,0,1,5,0,0,0,0
 120.95,  24.45,0,0,0,0,1,0,2,4,0,1,0,0
 121.00,  24.45,0,0,0,0,1,0,3,4,0,1,0,0
 121.05,  24.45,0,0,0,0,1,0,2,3,0,1,0,1
 121.10,  24.45,0,0,0,0,1,0,2,2,0,1,0,1
 121.15,  24.45,0,0,0,0,0,0,2,2,0,1,0,1
 121.20,  24.45,0,0,0,0,0,0,2,2,1,1,0,1
 121.25,  24.45,0,0,0,0,0,0,1,1,1,1,0,0
 121.30,  24.45,0,0,0,0,0,0,1,1,1,1,0,0
 121.35,  24.45,0,0,0,0,0,0,1,1,1,1,0,0
 120.65,  24.50,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
 120.70,  24.50,0,0,0,0,1,0,1,4,0,0,0,0
 120.75,  24.50,0,0,0,0,1,0,1,3,0,0,0,0
 120.80,  24.50,0,0,0,0,1,0,1,4,0,0,0,0
 120.85,  24.50,0,0,0,0,1,0,1,4,0,0,0,0
 120.90,  24.50,0,0,0,0,1,0,1,4,0,0,0,0
 120.95,  24.50,0,0,0,0,1,0,2,4,0,1,0,0
 121.00,  24.50,0,0,0,0,1,0,3,4,0,1,0,1
 121.05,  24.50,0,0,0,0,1,0,2,2,0,1,0,1
 121.10,  24.50,0,0,0,0,1,0,2,2,0,1,0,1
 121.15,  24.50,0,0,0,0,0,0,2,2,0,1,0,1
 121.20,  24.50,0,0,0,0,0,0,2,1,0,1,0,1
 121.25,  24.50,0,0,0,0,0,0,1,1,1,1,0,0
 121.30,  24.50,0,0,0,0,0,0,1,1,1,1,0,0
 121.35,  24.50,0,0,0,0,0,0,1,1,1,1,0,0
 121.40,  24.50,0,0,0,0,0,0,1,1,1,1,0,0
 120.70,  24.55,0,0,0,0,1,0,1,3,0,0,0,0
 120.75,  24.55,0,0,0,0,1,0,1,3,0,0,0,0
 120.80,  24.55,0,0,0,0,1,0,1,3,0,0,0,0
 120.85,  24.55,0,0,0,0,1,0,1,3,0,0,0,0
 120.90,  24.55,0,0,0,0,1,0,1,3,0,0,0,0
 120.95,  24.55,0,0,0,0,1,0,1,3,0,1,0,0
 121.00,  24.55,0,0,0,0,1,0,3,2,1,1,0,1
 121.05,  24.55,0,0,0,0,1,0,3,3,1,2,0,1
 121.10,  24.55,0,0,0,0,1,0,2,2,1,1,0,1
 121.15,  24.55,0,0,0,0,1,0,2,1,0,1,0,1
 121.20,  24.55,0,0,0,0,0,0,2,1,0,1,0,1
 121.25,  24.55,0,0,0,0,0,0,1,1,1,1,0,0
 121.30,  24.55,0,0,0,0,0,0,1,1,1,1,0,0
 121.35,  24.55,0,0,0,0,0,0,1,1,2,1,0,0
 121.40,  24.55,0,0,0,0,0,0,1,1,2,1,0,0
 120.70,  24.60,0,0,0,0,0,0,1,3,0,0,0,0
 120.75,  24.60,0,0,0,0,1,0,1,3,0,0,0,0
